지표,값,단위,출처,조회일,재현 명령,비고
① 폭염일수(2016–2025 여름 평균),7.1,일,Open-Meteo Archive API(ERA5 재분석),2026-09-14,"curl -s ""https://archive-api.open-meteo.com/v1/archive?latitude=37.573&longitude=126.979&start_date=1975-01-01&end_date=2025-12-31&daily=temperature_2m_max&timezone=Asia%2FSeoul""","6~9월 일최고기온 33°C 이상 · 격자 37.57469, 126.96 · 1975–1984 평균 0.7일"
② 반경 3km 건물,19226,동,Overpass API(OpenStreetMap),2026-09-14,"curl -s --data-urlencode 'data=[out:json][timeout:360];(way(around:5000,37.5735,126.9790)[""building""];relation(around:5000,37.5735,126.9790)[""building""];);out tags center;' https://overpass-api.de/api/interpreter","종로구청(37.5735, 126.9790) · 건물 중심점 거리 기준"
③ 용도 미기재율(반경 3km),78.2,%,Overpass API(OpenStreetMap),2026-09-14,"curl -s --data-urlencode 'data=[out:json][timeout:360];(way(around:5000,37.5735,126.9790)[""building""];relation(around:5000,37.5735,126.9790)[""building""];);out tags center;' https://overpass-api.de/api/interpreter",15041동 / 19226동 · building=yes·roof 등
링별 건물밀도 0-1km,1268,동/km²,Overpass API(OpenStreetMap),2026-09-14,"curl -s --data-urlencode 'data=[out:json][timeout:360];(way(around:5000,37.5735,126.9790)[""building""];relation(around:5000,37.5735,126.9790)[""building""];);out tags center;' https://overpass-api.de/api/interpreter",3984동 / 3.142km²
링별 건물밀도 1-2km,942.7,동/km²,Overpass API(OpenStreetMap),2026-09-14,"curl -s --data-urlencode 'data=[out:json][timeout:360];(way(around:5000,37.5735,126.9790)[""building""];relation(around:5000,37.5735,126.9790)[""building""];);out tags center;' https://overpass-api.de/api/interpreter",8885동 / 9.425km²
링별 건물밀도 2-3km,404.7,동/km²,Overpass API(OpenStreetMap),2026-09-14,"curl -s --data-urlencode 'data=[out:json][timeout:360];(way(around:5000,37.5735,126.9790)[""building""];relation(around:5000,37.5735,126.9790)[""building""];);out tags center;' https://overpass-api.de/api/interpreter",6357동 / 15.708km²
링별 건물밀도 3-4km,384,동/km²,Overpass API(OpenStreetMap),2026-09-14,"curl -s --data-urlencode 'data=[out:json][timeout:360];(way(around:5000,37.5735,126.9790)[""building""];relation(around:5000,37.5735,126.9790)[""building""];);out tags center;' https://overpass-api.de/api/interpreter",8445동 / 21.991km²
링별 건물밀도 4-5km,404.5,동/km²,Overpass API(OpenStreetMap),2026-09-14,"curl -s --data-urlencode 'data=[out:json][timeout:360];(way(around:5000,37.5735,126.9790)[""building""];relation(around:5000,37.5735,126.9790)[""building""];);out tags center;' https://overpass-api.de/api/interpreter",11436동 / 28.274km²
공원(반경 5km),392,개,Overpass API(OpenStreetMap),2026-09-14,"curl -s --data-urlencode 'data=[out:json][timeout:120];(way(around:5000,37.5735,126.9790)[""leisure""=""park""];relation(around:5000,37.5735,126.9790)[""leisure""=""park""];node(around:5000,37.5735,126.9790)[""leisure""=""park""];);out tags center;' https://overpass-api.de/api/interpreter",leisure=park node·way·relation
