중심,링,내경_km,외경_km,면적_km2,건물수_동,건물밀도_동per_km2,미분류_동,상업·업무_동,주거_동,공공·교육_동,종교·문화_동,공업_동,미분류율_pct,공원수_개,공원밀도_개per_km2,집계완전성,조회일_UTC,출처
종로구청,0-1km,0,1,3.142,3984,1268,2927,750,266,31,6,4,73.5,29,9.23,완전,2026-09-14T07:59:36Z,Overpass API(OSM)
종로구청,1-2km,1,2,9.425,8885,942.7,6967,918,800,175,22,3,78.4,77,8.17,완전,2026-09-14T07:59:36Z,Overpass API(OSM)
종로구청,2-3km,2,3,15.708,6357,404.7,5147,434,567,185,21,3,81,71,4.52,완전,2026-09-14T07:59:36Z,Overpass API(OSM)
종로구청,3-4km,3,4,21.991,8445,384,5985,427,1636,357,36,4,70.9,90,4.09,완전,2026-09-14T07:59:36Z,Overpass API(OSM)
종로구청,4-5km,4,5,28.274,11436,404.5,7798,865,2436,307,27,3,68.2,118,4.17,완전,2026-09-14T07:59:36Z,Overpass API(OSM)
