중심,링,내경_km,외경_km,면적_km2,건물수_동,건물밀도_동per_km2,미분류_동,상업·업무_동,주거_동,공공·교육_동,종교·문화_동,공업_동,미분류율_pct,공원수_개,공원밀도_개per_km2,집계완전성,조회일_UTC,출처
서울시청,0-1km,0,1,3.142,2850,907.1,2384,395,31,31,9,0,83.6,32,10.18,완전,2026-09-14T07:59:36Z,Overpass API(OSM)
서울시청,1-2km,1,2,9.425,10681,1133.3,8456,1172,900,120,26,7,79.2,77,8.17,완전,2026-09-14T07:59:36Z,Overpass API(OSM)
서울시청,2-3km,2,3,15.708,8123,517.1,6217,595,980,296,29,6,76.5,73,4.65,완전,2026-09-14T07:59:36Z,Overpass API(OSM)
서울시청,3-4km,3,4,21.991,8197,372.7,5821,664,1352,340,19,1,71,115,5.23,완전,2026-09-14T07:59:36Z,Overpass API(OSM)
서울시청,4-5km,4,5,28.274,8400,297.1,5520,597,2068,191,23,1,65.7,78,2.76,부분(조회반경 5km 밖 누락),2026-09-14T07:59:36Z,Overpass API(OSM)
